collision_index,collision_year,location_easting_osgr,location_northing_osgr,collision_severity,number_of_vehicles,number_of_casualties,day_of_week,local_authority_highway_current,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,collision_injury_based,hour_of_day,month,is_weekend,time_period,multi_vehicle
201514K210215,2015,1.0,1.0,3,0.5,1,2,E08000019,3,57,1,30,0,4,6,0,15.0,1,1,2,0,0,1,1,2.0,0,16,8,0,1,0
201514K037515,2015,1.0,1.0,3,0.5,1,6,E08000019,1,1,7,70,0,4,0,-1,0.0,1,2,2,0,0,1,1,1.0,0,14,2,0,1,0
201514K310815,2015,1.0,1.0,3,0.5,1,7,E08000019,3,6135,6,30,13,4,6,0,0.0,4,2,2,0,0,1,1,2.0,0,7,12,1,0,0
201514K293415,2015,1.0,1.0,3,0.5,1,4,E08000019,3,6102,1,40,0,4,3,57,0.0,4,9,1,0,0,1,2,2.0,0,20,11,0,2,0
201514K211915,2015,1.0,1.0,3,0.5,1,4,E08000019,3,6102,6,40,13,2,6,0,0.0,1,1,1,0,0,1,2,2.0,0,11,9,0,0,0
201514K048715,2015,1.0,1.0,3,0.5,1,3,E08000019,6,0,6,30,13,4,6,0,0.0,4,1,1,0,0,1,1,2.0,0,19,2,0,2,0
201514K165615,2015,1.0,1.0,3,0.5,1,4,E08000019,3,625,6,30,16,4,6,0,14.0,4,1,1,0,0,1,1,2.0,0,22,6,0,3,0
201514K007415,2015,1.0,1.0,3,0.5,1,2,E08000019,3,57,3,50,0,4,0,-1,0.0,1,5,2,0,0,1,1,2.0,0,13,1,0,1,0
201514K181815,2015,1.0,1.0,3,0.5,1,3,E08000019,3,6101,2,30,0,4,0,-1,0.0,1,1,1,0,0,1,2,2.0,0,12,7,0,1,0
201514K028015,2015,1.0,1.0,3,0.5,1,6,E08000019,6,0,6,30,0,4,0,-1,0.0,4,1,4,0,0,1,1,2.0,0,17,1,0,2,0
201514K111415,2015,1.0,1.0,3,0.5,1,7,E08000019,6,0,6,30,0,4,0,-1,0.0,1,1,1,0,0,1,1,2.0,0,20,5,1,2,0
201514K133815,2015,1.0,1.0,3,0.5,1,2,E08000019,3,61,6,50,13,4,6,0,0.0,1,1,1,0,0,2,1,2.0,0,13,5,0,1,0
201514K209815,2015,1.0,1.0,3,0.5,1,5,E08000019,6,0,6,20,16,4,6,0,0.0,1,1,1,0,0,1,1,2.0,0,8,8,0,0,0
201514K296015,2015,1.0,1.0,3,0.5,1,5,E08000019,3,6102,6,30,16,4,6,0,0.0,1,1,1,0,0,1,1,2.0,0,10,8,0,0,0
201514K009115,2015,1.0,1.0,3,0.5,1,4,E08000019,6,0,6,20,13,4,6,0,0.0,4,2,2,0,0,1,1,2.0,0,21,1,0,3,0
201514K185215,2015,1.0,1.0,3,0.5,1,6,E08000019,6,0,6,30,0,4,0,-1,0.0,1,1,1,0,0,1,2,2.0,0,16,7,0,1,0
201514K275415,2015,0.0,1.0,3,0.5,1,3,E08000019,6,0,6,60,0,4,0,-1,0.0,6,2,2,0,0,2,1,2.0,0,18,11,0,2,0
201514K246215,2015,0.8820494699646702,1.0,3,0.5,1,4,E08000019,6,0,6,30,16,4,6,0,14.0,1,1,1,0,0,1,2,2.0,0,17,10,0,2,0
201514K210415,2015,0.5385865724381631,1.0,2,0.5,1,4,E08000019,3,6102,6,30,16,4,6,0,0.0,1,1,1,0,0,2,1,2.0,0,7,9,0,0,0
201514K176215,2015,0.0,1.0,2,0.5,1,3,E08000019,4,6088,6,30,0,4,0,-1,13.0,1,1,1,0,0,1,1,2.0,0,9,7,0,0,0
201514K088715,2015,1.0,1.0,3,0.5,1,1,E08000019,3,6135,6,30,16,2,3,6102,0.0,1,1,1,0,0,1,1,2.0,0,13,4,1,1,0
201514K300015,2015,1.0,1.0,2,0.5,1,4,E08000019,3,61,6,30,0,4,0,-1,14.0,4,1,1,0,0,1,1,2.0,0,20,11,0,2,0
201514K202815,2015,1.0,1.0,3,0.5,1,4,E08000019,6,0,6,30,0,4,0,-1,0.0,1,1,1,0,0,1,1,2.0,0,18,8,0,2,0
201514K293015,2015,0.8817667844522958,1.0,3,0.5,1,3,E08000019,5,0,6,30,16,4,6,0,0.0,4,9,1,0,0,1,2,2.0,0,18,11,0,2,0
201514K287215,2015,1.0,1.0,2,0.5,1,6,E08000019,6,0,6,30,0,4,0,-1,0.0,4,2,2,0,0,1,1,2.0,0,23,11,0,3,0
201514K294815,2015,1.0,1.0,3,0.5,1,6,E08000019,5,0,6,30,16,4,6,0,0.0,4,9,1,0,0,1,2,2.0,0,2,11,0,3,0
201514K229515,2015,1.0,1.0,2,0.5,1,5,E08000019,6,0,6,20,13,4,6,0,0.0,1,1,1,0,0,1,1,2.0,0,8,9,0,0,0
201514K101815,2015,1.0,1.0,3,0.5,1,4,E08000019,3,625,6,30,13,4,6,0,0.0,1,1,1,0,0,1,1,2.0,0,8,4,0,0,0
201514K238715,2015,1.0,1.0,3,0.5,1,7,E08000019,3,57,1,40,0,4,3,57,0.0,1,1,1,0,0,2,2,2.0,0,13,9,1,1,0
201514K138015,2015,1.0,1.0,2,0.5,1,4,E08000019,3,6135,6,30,16,2,6,0,0.0,1,1,1,0,0,1,1,2.0,0,11,6,0,0,0
201514K230915,2015,1.0,1.0,3,0.5,1,6,E08000019,6,0,6,30,16,4,6,0,0.0,1,1,1,0,0,1,2,2.0,0,9,9,0,0,0
201514K152815,2015,1.0,1.0,3,0.5,1,7,E08000019,3,621,6,30,13,2,6,0,0.0,1,1,1,0,0,1,1,2.0,0,11,5,1,0,0
201514K071815,2015,1.0,1.0,3,0.5,1,4,E08000019,3,61,1,30,0,4,3,61,0.0,4,1,1,0,0,1,1,2.0,0,19,3,0,2,0
201514K167415,2015,1.0,0.8482029598308714,3,0.5,1,1,E08000019,6,0,6,40,13,4,6,0,0.0,1,9,1,0,0,1,2,2.0,0,18,7,1,2,0
201514K053215,2015,1.0,1.0,3,0.5,1,3,E08000019,6,0,6,30,0,4,0,-1,0.0,1,1,2,0,0,1,1,2.0,0,8,3,0,0,0
201514K074815,2015,1.0,1.0,3,0.5,1,7,E08000019,6,0,6,20,16,4,6,0,0.0,1,1,1,0,0,1,1,2.0,0,12,3,1,1,0
201514K152915,2015,1.0,1.0,3,0.5,1,6,E08000019,1,1,3,70,0,4,0,-1,0.0,1,1,1,0,0,1,2,1.0,0,8,6,0,0,0
201514K263815,2015,1.0,1.0,3,0.5,1,1,E08000019,6,0,6,30,13,4,6,0,0.0,1,1,1,0,0,1,2,2.0,0,12,10,1,1,0
201514K093615,2015,1.0,1.0,2,0.5,1,5,E08000019,4,6200,3,30,13,4,6,0,0.0,1,1,1,0,0,1,1,2.0,0,19,4,0,2,0
201514K199115,2015,1.0,1.0,3,0.5,1,2,E08000019,3,57,6,50,0,4,3,57,0.0,1,1,1,0,0,1,1,2.0,0,14,8,0,1,0
201514K244315,2015,1.0,1.0,3,0.5,1,3,E08000019,3,57,6,30,16,4,6,0,0.0,1,2,2,0,0,1,2,2.0,0,18,10,0,2,0
201514K336215,2015,1.0,1.0,3,0.5,1,3,E08000019,1,1,3,70,0,4,0,-1,0.0,1,1,1,0,0,1,1,1.0,0,11,12,0,0,0
201414K056114,2014,0.8379505300353287,0.5038054968287611,3,0.5,1,1,E08000019,3,621,3,30,13,4,6,0,0.0,4,1,1,0,0,1,1,2.0,0,22,3,1,3,0
201414K246614,2014,1.0,1.0,2,0.5,1,2,E08000019,5,0,6,30,0,2,3,61,15.0,1,1,1,0,0,1,1,2.0,0,8,10,0,0,0
201414K309814,2014,1.0,1.0,3,0.5,1,1,E08000019,3,6102,1,40,0,2,3,6178,0.0,1,1,2,0,0,1,1,2.0,0,16,12,1,1,0
